Date,Open,High,Low,Close,Volume
2016-07-15,2165.13,2169.05,2155.79,2161.74,643101106
2016-07-18,2162.04,2168.35,2159.63,2166.89,478404253
2016-07-19,2163.79,2164.63,2159.01,2163.78,516605607
2016-07-20,2166.1,2175.63,2164.89,2173.02,500205767
2016-07-21,2172.91,2174.56,2159.75,2165.17,559292869
2016-07-22,2166.47,2175.11,2163.24,2175.03,525935607
2016-07-25,2173.71,2173.71,2161.95,2168.48,511374042
2016-07-26,2168.97,2173.54,2160.18,2169.18,537572545
2016-07-27,2169.81,2174.98,2159.07,2166.58,661630367
2016-07-28,2166.05,2172.85,2159.74,2170.06,564543919
2016-07-29,2168.83,2177.09,2163.49,2173.6,787086996
2016-08-01,2173.15,2178.29,2166.21,2170.84,543777140
2016-08-02,2169.94,2170.2,2147.58,2157.03,619382235
2016-08-03,2156.81,2163.79,2152.56,2163.79,542285389
2016-08-04,2163.51,2168.19,2159.07,2164.25,492388664
2016-08-05,2168.79,2182.87,2168.79,2182.87,569849800
2016-08-08,2183.76,2185.44,2177.85,2180.89,486958977
2016-08-09,2182.24,2187.66,2178.61,2181.74,427986401
2016-08-10,2182.81,2183.41,2172,2175.49,439573433
2016-08-11,2177.97,2188.45,2177.97,2185.79,464458711
2016-08-12,2183.74,2186.28,2179.42,2184.05,432156303
2016-08-15,2186.08,2193.81,2186.08,2190.15,441305055
2016-08-16,2186.24,2186.24,2178.14,2178.15,484439239
2016-08-17,2177.84,2183.08,2168.5,2182.22,499856353
2016-08-18,2181.9,2187.03,2180.46,2187.02,510514826
2016-08-19,2184.24,2185,2175.13,2183.87,580186480
2016-08-22,2181.58,2185.15,2175.96,2182.64,463033593
2016-08-23,2187.81,2193.42,2186.8,2186.9,466736625
2016-08-24,2185.09,2186.66,2171.25,2175.44,472264903
2016-08-25,2173.29,2179,2169.74,2172.47,459398340
2016-08-26,2175.1,2187.94,2160.39,2169.04,494425690
2016-08-29,2170.19,2183.48,2170.19,2180.38,434407871
2016-08-30,2179.45,2182.27,2170.41,2176.12,470170318
2016-08-31,2173.56,2173.79,2161.35,2170.95,659162199
2016-09-01,2171.33,2173.56,2157.09,2170.86,507264056
2016-09-02,2177.49,2184.87,2173.59,2179.98,491982133
2016-09-06,2181.61,2186.57,2175.1,2186.48,569188047
2016-09-07,2185.17,2187.87,2179.07,2186.16,511720244
2016-09-08,2182.76,2184.94,2177.49,2181.3,530082582
2016-09-09,2169.08,2169.08,2127.81,2127.81,733227083
2016-09-12,2120.86,2163.3,2119.12,2159.04,678673914
2016-09-13,2150.47,2150.47,2120.27,2127.02,671922252
2016-09-14,2127.86,2141.33,2119.9,2125.77,613057415
2016-09-15,2125.36,2151.31,2122.36,2147.26,582039878
2016-09-16,2146.48,2146.48,2131.2,2139.16,400617912
2016-09-19,2143.99,2153.61,2135.91,2139.12,513135966
2016-09-20,2145.94,2150.8,2139.17,2139.76,484990399
2016-09-21,2144.58,2165.11,2139.57,2163.12,584045429
2016-09-22,2170.94,2179.99,2170.94,2177.18,521694980
2016-09-23,2173.29,2173.75,2163.97,2164.69,520708916
2016-09-26,2158.54,2158.54,2145.04,2146.1,517726610
2016-09-27,2146.04,2161.13,2141.55,2159.93,534092546
2016-09-28,2161.85,2172.4,2151.79,2171.37,558057164
2016-09-29,2168.9,2172.67,2145.2,2151.13,616762353
2016-09-30,2156.51,2175.3,2156.51,2168.27,809085274
2016-10-03,2164.33,2164.41,2154.77,2161.2,514417686
2016-10-04,2163.37,2165.46,2144.01,2150.49,562930985
2016-10-05,2155.15,2163.95,2155.15,2159.73,599657716
2016-10-06,2158.22,2162.93,2150.28,2160.77,517703265
2016-10-07,2164.19,2165.86,2144.85,2153.74,620211022
2016-10-10,2160.39,2169.6,2160.39,2163.66,452832485
2016-10-11,2161.35,2161.56,2128.84,2136.73,576873524
2016-10-12,2137.67,2145.36,2132.77,2139.18,458983794
2016-10-13,2130.26,2138.19,2114.72,2132.55,561305794
2016-10-14,2139.68,2149.19,2132.98,2132.98,548993154
2016-10-17,2132.95,2135.61,2124.43,2126.5,479259921
2016-10-18,2138.31,2144.38,2135.49,2139.6,475279452
2016-10-19,2140.81,2148.44,2138.15,2144.29,544371390
2016-10-20,2142.51,2147.18,2133.44,2141.34,571361511
2016-10-21,2139.43,2142.63,2130.09,2141.16,654860857
2016-10-24,2148.5,2154.79,2146.91,2151.33,523564705
2016-10-25,2149.72,2151.44,2141.93,2143.16,530792143
2016-10-26,2136.97,2145.73,2131.59,2139.43,562087522
2016-10-27,2144.06,2147.13,2132.52,2133.04,614708800
2016-10-28,2132.23,2140.72,2119.36,2126.41,641367743
2016-10-31,2129.78,2133.25,2125.53,2126.15,673263488
2016-11-01,2128.68,2131.45,2097.85,2111.72,712604519
2016-11-02,2109.43,2111.76,2094,2097.94,641501340
2016-11-03,2098.8,2102.56,2085.23,2088.66,593008290
2016-11-04,2083.79,2099.07,2083.79,2085.18,624672107
2016-11-07,2100.59,2132,2100.59,2131.52,608621001
2016-11-08,2129.92,2146.87,2123.56,2139.56,556634318
2016-11-09,2131.56,2170.1,2125.35,2163.26,992770441
2016-11-10,2167.49,2182.3,2151.17,2167.48,997868105
2016-11-11,2162.71,2165.92,2152.49,2164.45,734601661
2016-11-14,2165.64,2171.36,2156.08,2164.2,798242148
2016-11-15,2168.29,2180.84,2166.38,2180.39,683976715
2016-11-16,2177.53,2179.22,2172.2,2176.94,569327906
2016-11-17,2178.61,2188.06,2176.65,2187.12,569018109
2016-11-18,2186.85,2189.89,2180.38,2181.9,670518317
2016-11-21,2186.43,2198.7,2186.43,2198.18,571010395
2016-11-22,2201.56,2204.8,2194.51,2202.94,593601222
2016-11-23,2198.55,2204.72,2194.51,2204.72,523778550
2016-11-25,2206.27,2213.35,2206.27,2213.35,261974388
2016-11-28,2210.21,2211.14,2200.36,2201.72,562045555
2016-11-29,2200.76,2210.46,2198.15,2204.66,578283446
2016-11-30,2204.97,2214.1,2198.81,2198.81,1055352593
2016-12-01,2200.17,2202.6,2187.44,2191.08,742047822
2016-12-02,2191.12,2197.95,2188.37,2191.95,587431425
2016-12-05,2200.65,2209.42,2199.97,2204.71,2353018266
2016-12-06,2207.26,2212.78,2202.21,2212.23,2170130802
2016-12-07,2210.72,2241.63,2208.93,2241.35,2734847977
2016-12-08,2241.13,2251.69,2237.57,2246.19,2436820226
2016-12-09,2249.73,2259.8,2249.23,2259.53,2200678359
2016-12-12,2258.83,2264.03,2252.37,2256.96,2358393197
2016-12-13,2263.32,2277.53,2263.32,2271.72,2311255270
2016-12-14,2268.35,2276.2,2248.44,2253.28,2660459785
2016-12-15,2253.77,2272.12,2253.77,2262.03,2428153807
2016-12-16,2266.81,2268.05,2254.24,2258.07,3710588961
2016-12-19,2259.24,2267.47,2258.21,2262.53,782039600
2016-12-20,2266.5,2272.56,2266.14,2270.76,724056775
2016-12-21,2270.54,2271.23,2265.15,2265.18,511345709
2016-12-22,2262.93,2263.18,2256.08,2260.96,639919664
2016-12-23,2260.25,2263.79,2258.84,2263.79,8325217
2016-12-27,2266.23,2273.82,2266.15,2268.88,17232932
2016-12-28,2270.23,2271.31,2249.11,2249.92,269786637
2016-12-29,2249.5,2254.51,2244.56,2249.26,191088490
2016-12-30,2251.61,2253.58,2233.62,2238.83,506853466
2017-01-03,2251.57,2263.88,2245.13,2257.83,2318947704
2017-01-04,2261.6,2272.82,2261.6,2270.75,1023618459
2017-01-05,2268.18,2271.5,2260.45,2269,2187189991
2017-01-06,2271.14,2282.1,2264.06,2276.98,883439317
2017-01-09,2273.59,2275.49,2268.9,2268.9,840910697
2017-01-10,2269.72,2279.27,2265.27,2268.9,1064282732
2017-01-11,2268.6,2275.32,2260.83,2275.32,1044548052
2017-01-12,2271.14,2271.78,2254.25,2270.44,863643316
2017-01-13,2272.74,2278.68,2271.51,2274.64,707256094
2017-01-17,2269.14,2272.08,2262.81,2267.89,2147375749
2017-01-18,2269.14,2272.01,2263.35,2271.89,924902096
2017-01-19,2271.9,2274.33,2258.41,2263.69,967540951
2017-01-20,2269.96,2276.96,2265.01,2271.31,2311814000
2017-01-23,2267.78,2271.78,2257.02,2265.2,916810570
2017-01-24,2267.88,2284.63,2266.68,2280.07,2147415305
