Date,SP500_Close,XLY_Close,XLP_Close,XLE_Close,XLF_Close,XLV_Close,XLI_Close,XLB_Close,XLK_Close,XLU_Close,sp500_CHANGE,SP_rank
11/29/2016,2204.66,82.54,51.4,70.83,22.21,69.41,62.33,49.41,48.07,48.27,0.13%,361
11/30/2016,2198.81,81.85,50.58,74.43,22.51,68.75,62.41,49.94,47.5,46.75,-0.27%,149
12/1/2016,2191.08,81.89,50.25,74.61,22.9,68.25,62.82,49.96,46.52,46.38,-0.35%,119
12/2/2016,2191.95,81.44,50.57,74.83,22.65,68.41,62.81,49.98,46.69,46.8,0.04%,311
12/5/2016,2204.71,82.33,50.63,75.49,22.92,68.29,62.76,50.37,47.14,46.86,0.58%,496
12/6/2016,2212.23,82.52,50.78,75.35,23.12,68.48,62.88,50.43,47.28,46.77,0.34%,435
12/7/2016,2241.35,84.12,51.51,75.95,23.48,67.89,64.05,51.15,48.18,47.38,1.32%,572
12/8/2016,2246.19,84.12,51.3,76.36,23.7,68.02,63.69,51.49,48.3,47.46,0.22%,403
12/9/2016,2259.53,84.31,52.04,76.6,23.75,68.85,63.98,51.5,48.65,47.96,0.59%,499
12/12/2016,2256.96,83.61,52.25,76.96,23.52,69.18,63.75,51.27,48.5,48.46,-0.11%,222
12/13/2016,2271.72,84.36,52.49,77.83,23.58,69.74,63.66,51.19,49.11,48.96,0.65%,509
12/14/2016,2253.28,83.79,51.92,76.27,23.47,69.38,63.02,50.58,48.94,47.95,-0.81%,65
12/15/2016,2262.03,83.59,52.14,76.44,23.67,69.83,63.09,50.91,49.16,48.29,0.39%,448
12/16/2016,2258.07,82.69,52.05,76.51,23.36,69.58,62.58,50.42,48.59,48.41,-0.18%,184
12/19/2016,2262.53,82.91,52.15,76.16,23.37,69.29,62.93,50.32,48.94,48.59,0.20%,394
12/20/2016,2270.76,83.57,52.05,75.99,23.66,69.24,63.29,50.36,49.12,48.65,0.36%,441
12/21/2016,2265.18,83.53,52.04,76.11,23.6,68.85,63.05,50.38,49.02,48.45,-0.25%,156
12/22/2016,2260.96,82.63,51.96,76.42,23.54,68.94,62.93,50.17,48.92,48.62,-0.19%,180
12/23/2016,2263.79,82.45,52.06,76.35,23.58,69.46,62.99,50.27,48.97,48.61,0.13%,361
12/27/2016,2268.88,82.77,52.05,76.52,23.61,69.6,63.12,50.54,49.17,48.65,0.22%,403
12/28/2016,2249.92,82.2,51.73,75.69,23.37,69.07,62.46,50.03,48.73,48.19,-0.84%,62
12/29/2016,2249.26,82.09,51.97,75.54,23.2,69.19,62.44,50.03,48.74,48.84,-0.03%,271
12/30/2016,2238.83,81.4,51.71,75.32,23.25,68.94,62.22,49.7,48.36,48.57,-0.46%,105
1/3/2017,2257.83,81.88,51.9,76.17,23.51,69.84,62.59,49.99,48.79,48.45,0.85%,535
1/4/2017,2270.75,82.97,51.9,76.01,23.7,70.39,62.96,50.72,48.96,48.63,0.57%,493
1/5/2017,2269,82.91,52.07,75.82,23.46,70.75,62.78,50.57,49.04,48.68,-0.08%,245
1/6/2017,2276.98,83.32,52.12,75.89,23.54,70.95,63.14,50.62,49.4,48.83,0.35%,439
1/9/2017,2268.9,83.25,51.7,74.79,23.38,71.25,62.65,50.61,49.39,48.19,-0.35%,119
1/10/2017,2268.9,83.55,51.44,74.11,23.43,71.5,62.91,50.64,49.4,48.04,0.00%,287
1/11/2017,2275.32,83.73,51.54,74.91,23.58,70.78,63.24,51.05,49.63,48.54,0.28%,418
1/12/2017,2270.44,83.65,51.49,74.6,23.38,70.85,62.98,50.95,49.51,48.58,-0.21%,172
1/13/2017,2274.64,83.96,51.52,74.38,23.51,70.92,63.22,50.87,49.66,48.51,0.18%,383
1/17/2017,2267.89,84.1,52.25,74.84,22.95,70.56,62.73,50.64,49.47,49.04,-0.30%,134
