Disease,Date,V_Close,V_Volume,Index_H/L,Bu/Be,Volatility,Signal
ZIKA,2016-10-26,H,L,3,-0.6762916940743713,-2.028875082223114,N
ZIKA,2016-10-27,H,H,4,-1.0894144925548632,-4.357657970219453,N
ZIKA,2016-10-28,L,L,1,-0.22182039843122725,-0.22182039843122725,N
ZIKA,2016-10-31,L,L,1,0.6132640999600758,0.6132640999600758,N
ZIKA,2016-11-01,L,H,2,-0.18286095238094768,-0.36572190476189537,N
ZIKA,2016-11-02,L,L,1,0.4350866512131457,0.4350866512131457,N
ZIKA,2016-11-03,H,L,3,-0.7675900476122544,-2.302770142836763,N
ZIKA,2016-11-04,H,L,3,0.8960694932029778,2.6882084796089334,N
ZIKA,2016-11-07,H,L,3,-0.8501669633305453,-2.550500889991636,N
ZIKA,2016-11-08,L,H,2,-0.40575640812113845,-0.8115128162422769,N
ZIKA,2016-11-09,H,H,4,-4.243213290589997,-16.97285316235999,N
ZIKA,2016-11-10,H,L,3,-1.4770787509031047,-4.431236252709314,N
ZIKA,2016-11-11,L,H,2,-0.5622113445234667,-1.1244226890469333,N
ZIKA,2016-11-14,L,H,2,-0.5981669895266606,-1.1963339790533212,N
ZIKA,2016-11-15,L,H,2,0.4946055641679381,0.9892111283358762,N
ZIKA,2016-11-16,H,L,3,0.9023033089228694,2.706909926768608,N
ZIKA,2016-11-17,H,L,3,-1.4714291281777259,-4.414287384533178,N
ZIKA,2016-11-18,L,L,1,-0.2887780599532541,-0.2887780599532541,N
ZIKA,2016-11-21,L,H,2,0.24824493584187923,0.49648987168375847,N
ZIKA,2016-11-22,L,H,2,-0.03301774605005692,-0.06603549210011384,N
ZIKA,2016-11-23,L,H,2,-0.3880786030213912,-0.7761572060427824,N
ZIKA,2016-11-25,L,H,2,0.149205074181058,0.298410148362116,N
ZIKA,2016-11-28,H,H,4,0.7366321801026254,2.9465287204105017,N
ZIKA,2016-11-29,L,L,1,0.41903048573683765,0.41903048573683765,N
ZIKA,2016-11-30,H,H,4,-1.6200318964160298,-6.480127585664119,N
ZIKA,2016-12-01,H,L,3,-1.255817552491978,-3.7674526574759337,N
ZIKA,2016-12-02,H,H,4,0.7327507605638717,2.9310030422554867,N
ZIKA,2016-12-05,L,L,1,-0.10869314563032306,-0.10869314563032306,N
ZIKA,2016-12-06,L,L,1,-0.07533606700145246,-0.07533606700145246,N
ZIKA,2016-12-07,H,L,3,0.85441868456404,2.56325605369212,N
ZIKA,2016-12-08,H,L,3,-1.1794011431993212,-3.5382034295979636,N
ZIKA,2016-12-09,H,L,3,-1.2439090289819488,-3.7317270869458463,N
ZIKA,2016-12-12,L,H,2,0.1872348936170276,0.3744697872340552,N
ZIKA,2016-12-13,L,L,1,0.3567770951683924,0.3567770951683924,N
ZIKA,2016-12-14,H,H,4,-1.117317598758405,-4.46927039503362,N
ZIKA,2016-12-15,L,L,1,0.5050539291217238,0.5050539291217238,N
ZIKA,2016-12-16,L,L,1,-0.2299676269494011,-0.2299676269494011,N
ZIKA,2016-12-19,H,L,3,1.075638561342318,3.226915684026954,N
ZIKA,2016-12-20,L,H,2,-0.4983141807717306,-0.9966283615434612,N
ZIKA,2016-12-21,L,H,2,0.4413920794736015,0.882784158947203,N
ZIKA,2016-12-22,L,L,1,-0.4394523715126941,-0.4394523715126941,N
ZIKA,2016-12-23,L,L,1,0.203722098357062,0.203722098357062,N
ZIKA,2016-12-27,L,L,1,-0.32190172837184283,-0.32190172837184283,N
ZIKA,2016-12-28,H,H,4,0.7308583450473138,2.9234333801892554,N
ZIKA,2016-12-29,L,L,1,0.35433898890018245,0.35433898890018245,N
ZIKA,2016-12-30,L,L,1,0.15132408956681775,0.15132408956681775,N
ZIKA,2017-01-03,L,L,1,0.42810544182252386,0.42810544182252386,N
ZIKA,2017-01-04,L,H,2,0.3844859610873108,0.7689719221746216,N
ZIKA,2017-01-05,H,H,4,1.5653663874332535,6.261465549733014,N
ZIKA,2017-01-06,H,H,4,-0.9181849257701713,-3.672739703080685,N
ZIKA,2017-01-09,H,L,3,0.8025823200183524,2.407746960055057,N
ZIKA,2017-01-10,L,L,1,-0.06566691183342854,-0.06566691183342854,N
ZIKA,2017-01-11,L,L,1,0.3367589322381903,0.3367589322381903,N
ZIKA,2017-01-12,L,L,1,-0.22102569675750416,-0.22102569675750416,N
ZIKA,2017-01-13,L,L,1,-0.4758396954290034,-0.4758396954290034,N
ZIKA,2017-01-17,H,L,3,1.0469079391131508,3.1407238173394525,N
ZIKA,2017-01-18,H,L,3,-1.280796193819611,-3.842388581458833,N
ZIKA,2017-01-19,H,L,3,-0.685895369210876,-2.057686107632628,N
ZIKA,2017-01-20,L,H,2,-0.1996987851555998,-0.3993975703111996,N
ZIKA,2017-01-23,H,L,3,1.0004977321911301,3.0014931965733904,N
ZIKA,2017-01-24,H,H,4,-0.6851584999600369,-2.7406339998401474,N
ZIKA,2017-01-25,H,L,3,-1.2550868798119286,-3.7652606394357857,N
ZIKA,2017-01-26,L,L,1,0.33669527769286667,0.33669527769286667,N
ZIKA,2017-01-27,L,L,1,0.36073826411253673,0.36073826411253673,N
ZIKA,2017-01-30,L,L,1,-0.30092786845091757,-0.30092786845091757,N
ZIKA,2017-01-31,H,H,4,0.6959009146281669,2.7836036585126678,N
ZIKA,2017-02-01,H,L,3,-0.8326394809765159,-2.4979184429295476,N
ZIKA,2017-02-02,L,H,2,-0.04197733067972109,-0.08395466135944218,N
ZIKA,2017-02-03,L,H,2,-0.042001678907988005,-0.08400335781597601,N
ZIKA,2017-02-06,L,L,1,0.6050428571428457,0.6050428571428457,N
ZIKA,2017-02-07,H,L,3,0.735045934388201,2.205137803164603,N
ZIKA,2017-02-08,H,H,4,1.359867352568278,5.439469410273112,N
